------Mass density on XY plane (unit:g/cm^3)------
dx = 2.000, dy = 2.000, dz = 72.000
xpos   ypos   zpos   massDensity
21.000 41.000 36.000 1.130947
21.000 43.000 36.000 1.056136
21.000 45.000 36.000 1.050324
21.000 47.000 36.000 1.032889
21.000 49.000 36.000 1.119323
21.000 51.000 36.000 0.646467
21.000 53.000 36.000 0.946454
21.000 55.000 36.000 0.917395
21.000 57.000 36.000 0.865831
21.000 59.000 36.000 1.107700
21.000 61.000 36.000 0.744526
21.000 63.000 36.000 1.258064
21.000 65.000 36.000 0.750337
21.000 67.000 36.000 1.061947
21.000 69.000 36.000 0.732902
21.000 71.000 36.000 1.223193
21.000 73.000 36.000 0.825149
21.000 75.000 36.000 0.940642
21.000 77.000 36.000 0.929019
21.000 79.000 36.000 0.732902
21.000 81.000 36.000 0.807713
21.000 83.000 36.000 1.130947
21.000 85.000 36.000 0.548409
21.000 87.000 36.000 1.240629
21.000 89.000 36.000 0.917395
21.000 91.000 36.000 0.732902
21.000 93.000 36.000 0.560032
21.000 95.000 36.000 0.732902
21.000 97.000 36.000 1.032889
21.000 99.000 36.000 0.738714
21.000 101.000 36.000 0.934830
21.000 103.000 36.000 1.436745
21.000 105.000 36.000 1.125135
21.000 107.000 36.000 0.911583
21.000 109.000 36.000 0.923207
21.000 111.000 36.000 0.929019
21.000 113.000 36.000 0.756149
21.000 115.000 36.000 0.963889
23.000 1.000 36.000 1.015453
23.000 3.000 36.000 1.044512
23.000 5.000 36.000 1.130947
23.000 7.000 36.000 0.923207
23.000 9.000 36.000 1.223193
23.000 11.000 36.000 0.669714
23.000 13.000 36.000 1.223193
23.000 15.000 36.000 0.946454
23.000 17.000 36.000 1.015453
23.000 19.000 36.000 0.744526
23.000 21.000 36.000 0.715467
23.000 23.000 36.000 1.015453
23.000 25.000 36.000 1.229005
23.000 27.000 36.000 0.958077
23.000 29.000 36.000 1.032889
23.000 31.000 36.000 0.911583
23.000 33.000 36.000 0.542597
23.000 35.000 36.000 0.646467
23.000 37.000 36.000 0.917395
23.000 39.000 36.000 1.165817
23.000 41.000 36.000 1.240629
23.000 43.000 36.000 1.292193
23.000 45.000 36.000 0.958077
23.000 47.000 36.000 0.860019
23.000 49.000 36.000 1.217382
23.000 51.000 36.000 1.154194
23.000 53.000 36.000 1.130947
23.000 55.000 36.000 0.923207
23.000 57.000 36.000 1.154194
23.000 59.000 36.000 0.727090
23.000 61.000 36.000 1.038700
23.000 63.000 36.000 1.032889
23.000 65.000 36.000 0.732902
23.000 67.000 36.000 1.038700
23.000 69.000 36.000 0.963889
23.000 71.000 36.000 0.934830
23.000 73.000 36.000 1.067759
23.000 75.000 36.000 0.750337
23.000 77.000 36.000 0.905772
23.000 79.000 36.000 0.923207
23.000 81.000 36.000 1.032889
23.000 83.000 36.000 0.732902
23.000 85.000 36.000 1.009642
23.000 87.000 36.000 0.958077
23.000 89.000 36.000 1.061947
23.000 91.000 36.000 1.309628
23.000 93.000 36.000 1.027077
23.000 95.000 36.000 1.234817
23.000 97.000 36.000 1.056136
23.000 99.000 36.000 0.744526
23.000 101.000 36.000 0.727090
23.000 103.000 36.000 0.877454
23.000 105.000 36.000 0.923207
23.000 107.000 36.000 0.836772
23.000 109.000 36.000 1.523180
23.000 111.000 36.000 0.548409
23.000 113.000 36.000 1.009642
23.000 115.000 36.000 0.940642
25.000 1.000 36.000 1.027077
25.000 3.000 36.000 1.125135
25.000 5.000 36.000 0.461974
25.000 7.000 36.000 1.240629
25.000 9.000 36.000 1.101888
25.000 11.000 36.000 0.842584
25.000 13.000 36.000 1.154194
25.000 15.000 36.000 0.652279
25.000 17.000 36.000 0.646467
25.000 19.000 36.000 1.061947
25.000 21.000 36.000 1.211570
25.000 23.000 36.000 1.130947
25.000 25.000 36.000 0.917395
25.000 27.000 36.000 0.583279
25.000 29.000 36.000 0.923207
25.000 31.000 36.000 0.940642
25.000 33.000 36.000 0.848396
25.000 35.000 36.000 0.905772
25.000 37.000 36.000 0.854207
25.000 39.000 36.000 0.409668
25.000 41.000 36.000 0.721279
25.000 43.000 36.000 1.136759
25.000 45.000 36.000 0.542597
25.000 47.000 36.000 1.321252
25.000 49.000 36.000 1.229005
25.000 51.000 36.000 0.750337
25.000 53.000 36.000 1.050324
25.000 55.000 36.000 0.940642
25.000 57.000 36.000 1.009642
25.000 59.000 36.000 1.044512
25.000 61.000 36.000 0.756149
25.000 63.000 36.000 1.246440
25.000 65.000 36.000 0.830960
